id,camera_id,housing_id,lens_id,gear_id,adapter_id,extension1_id,extension2_id,port_id,notes,created_at,extension3_id
7482,62,96,309,309,16,111,,131,,2025-11-03 00:49:33.466169+00,
7483,62,96,309,309,16,112,,131,,2025-11-03 00:49:33.571221+00,
7484,62,96,309,309,,113,113,124,,2025-11-03 00:49:33.67429+00,
7485,62,96,309,309,,114,114,124,,2025-11-03 00:49:33.779951+00,
7486,62,96,310,,,122,,119,,2025-11-03 00:49:33.882099+00,
7487,62,96,310,,,122,,124,,2025-11-03 00:49:33.992059+00,
7488,62,96,310,,,122,,121,,2025-11-03 00:49:34.098282+00,
7489,62,96,310,,,123,,119,,2025-11-03 00:49:34.246676+00,
7490,62,96,310,,,123,,124,,2025-11-03 00:49:34.35061+00,
7491,62,96,310,,,123,,121,,2025-11-03 00:49:34.452426+00,
7492,62,96,310,,,119,,117,,2025-11-03 00:49:34.558091+00,
7493,62,96,310,,,120,,117,,2025-11-03 00:49:34.660425+00,
7494,62,96,312,,20,129,,128,,2025-11-03 00:49:34.769084+00,
7495,62,96,313,,20,131,,129,,2025-11-03 00:49:34.869291+00,
7496,62,96,313,,20,130,,130,,2025-11-03 00:49:34.971326+00,
7497,62,96,314,310,,113,,119,,2025-11-03 00:49:35.075941+00,
7498,62,96,314,310,,113,,124,,2025-11-03 00:49:35.175649+00,
