和名,学名,分布,深さ,体長,description
ヒョウタンミノウミウシ,Eubranchus sp.7,西太平洋,7m,7~7mm,体は白みや黄色みを帯びた半透明で全体に白色細点を密に散布する。背面には大きな白色斑紋と小さな赤色斑紋があるが配置は不規則。背側突起は２か所で膨らみ、先端直下の膨らみに見えるのは内部の消化腺。触角には中ほどに赤色の輪がある。ピナクルミノウミウシは異名。7mmに達する。
ホシクズミノウミウシ,Eubranchus sp.8,西太平洋,8m,8~8mm,体は白みを帯びた半透明で背面には黄褐色と白色の小斑紋を散布する。背側突起はほぼ透明で黒褐色の細点を散布する。背側突起の消化腺は乳白色で、２か所でよく膨らむ。触角と口触手には中ほどに赤褐色の輪がある。8mmに達する。
ヤマンバミノウミウシ,Eubranchus sp.9,西太平洋,15m,10~20mm,体は白みを帯びた半透明で、背面と体側下部に黒褐色の色帯がある。背側突起の生じている体側上部は白色の細い横帯が連なる。背側突起はほぼ透明で、消化腺は白色、2〜3か所の膨らみをもつ。触角は黒褐色で口触手は半透明。ときにこれらの白色や黒褐色の色素を欠く個体が見られる。20mmに達する。
ユビワミノウミウシ,Abronica purpureoanulata,西太平洋,20m,3~15mm,体は白みを帯びた半透明で、背面や頭部には黄白色の斑紋が散在する。背側突起は中ほどより上部が黄白色で、先端は白色、その直下に紫色の輪がある。突起内の消化腺は褐色。触角と口触手は紫色の帯が2本ずつある。15mmに達する。
ローズミノウミウシ,Abronica sp.1,西太平洋,10m,8~6mm,体は橙赤色。背側突起は上部2/3が白色でその中ほどに黄色の細い輪がある。突起先端は淡色になり、突起基部に白色紋がある。触角は橙赤色で黄色細点を散らし、先端近くに黄色の輪がある。口触手の先端近くに黄色の輪があり、その先は無色。過去の本ではゴシキミノウミウシ属とされていた場合もある。6mmに達する。
アキバミノウミウシ,Tenellia akibai,日本,1m,7~10mm,体は黄色みを帯びた半透明で、背面や頭部には黄白色の斑紋があるが、目立たないことも多い。頭部には触角基部で途切れる2本の赤色線がある。背側突起は先端直下に赤色紋がある。消化腺は太く、黒褐色から黄白色と変異が多い。10mmに達する。
オレンジミノウミウシ,Tenellia acinosa,西太平洋,5m,6~13mm,体は白色。背側突起は長く、赤褐色を帯びた半透明で、内部のオレンジ色の消化腺が見える。背側突起には白色紋を生じることがある。触角と口触手は赤褐色。13mmに達する。
キリヒメミノウミウシ,Tenellia puellula,日本,10m,8~10mm,体は淡い褐色を帯びた半透明。背面と体側には不定形の白色斑紋が多数ある。背側突起は透明で黄白色の縦線が多数入り、先端の下方前面に橙黄色の斑紋が一つある。突起内の消化腺は黒褐色。触角は中ほどに赤色の帯がある。口触手の上面に赤色線があり、頭部で接する。10mmに達する。
ゴシキミノウミウシ,Tenellia diversicolor,西太平洋,5m,12~20mm,体は白みを帯びた半透明。背面は水色の雲状斑紋があり、黄色の小斑紋が散在する。頭部の触角前にある横長の黄色斑紋は目立つ。背側突起は透明で先端直下に橙黄色と水色の輪がある。突起内の消化腺は褐色、緑褐色、黒色など変異に富む。触角と口触手は橙色で白色細点を散らす。20mmに達する。
ツクモミノウミウシ,Tenellia beta,本州から南西諸島,8m,16~10mm,体全体は淡い赤紫色。背側突起は先端が黄色みを帯び、直下に紫色の輪がある。触角は長大で橙赤色。口触手は紫色。10mmに達する。
ツノワミノウミウシ,Tenellia anulata,インド-西太平洋,5m,10~10mm,体は白みを帯びた半透明で、全体に白色細点を散布する。背側突起はゆるく内側に湾曲する。触角は不透明で白色の輪状突起が連なる。かつて南アフリカと日本のみの記録であったがオーストラリアからも報告された。10mmに達する。
コマユミノウミウシ,Tenellia pupillae,北海道から南西諸島,12m,5~7mm,体は白みを帯びた半透明で、頭部や背面には白色の細点が密に散布する。背側突起群の基部に黒色斑紋がある。触角と口触手の中ほどに橙色の輪がある。ヒョウタンミノウミウシに似るが、背側突起基部に明瞭な黒色斑があること、突起内の消化腺の分岐が密であり一塊に見えること、背面に赤色の小斑紋をもたないことで識別できる。7mmに達する。
フジエラミノウミウシ,Tenellia ornata,インド-西太平洋,16m,8~15mm,体は黄色から橙色を帯びた半透明。背側突起は透明で、中ほどに消化腺のやや黒みを帯びた青色帯がある。先端の刺胞嚢は黄色。触角と口触手は赤色から黄色、白色と変異が多い。15mmに達する。
アオセンミノウミウシ,Tenellia sp.1,インド-西太平洋,9m,8~8mm,体は青みを帯びた黄色。背側突起も青みを帯びた黄色で中ほどからやや上方に青色の輪がある。触角の下半分は赤色で上部は白色。口触手は青みを帯びた白色。8mmに達する。
アカテンミノウミウシ,Tenellia sp.2,西太平洋、中部太平洋,15m,5~10mm,体は白みを帯びた半透明で、頭部には黄白色のU字形をした斑紋があり、その周囲は水色。背側突起は黄白色で中ほどに赤色の細点が一つあり、先端は水色。触角には中ほどに太い赤色の帯がある。10mmに達する。
インディアンミノウミウシ,Tenellia sp.3,西太平洋,12m,8~8mm,体は黄色みを帯びた半透明で、頭部、背面には淡い白色斑がある。背側突起は中ほどに青色と黄色の輪があり、青色の輪の中には暗色の青色点がある。触角は淡い黄色。口触手は白色で根元に赤色の輪がある。8mmに達する。
フタイロミノウミウシ,Tenellia futairo,日本,3m,10~20mm,体は橙黄色を帯びた半透明。触角と口触手は先端に近いほど赤色が濃色になる。口触手の基部上面には白色線がある。背側突起は先端が白色で外側の下方へ白色域が伸びる。消化腺は淡い緑色。20mmに達する。
ミチヨミノウミウシ,Tenellia sibogae,インド-西太平洋,18m,13~35mm,体は紫色から薄紫色。背側突起は体と同色で先端が黄色。この黄色の下に濃い紫色の輪をもつ個体もいる。触角と口触手は体と同色でやや濃色。35mmに達する。
アカオビミノウミウシ,Tenellia sp.4,本州,11m,5~5mm,体は白みを帯びた半透明で、口触手基部から背面縁を通り体後部に至る橙色線がある。背面は白色。背側突起は上部1/3が白色、その下部は体と同色で黄褐色の消化腺が透けて見える。触角上部2/3と口触手は白色。前足隅は丸い。5mm。
イロマユミノウミウシ,Tenellia sp.5,本州から南西諸島,7m,4~4mm,体は黄色みを帯びた半透明で、正中線上に赤紫色の色帯がある。背側突起はほぼ透明で先端が黄色、その下に紫色の帯がある。突起内の消化腺は鮮やかな赤色。頭部は褐色を帯び、触角と口触手は黄色みや白みを帯びた半透明。4mmに達する。
ウララカミノウミウシ,Tenellia sp.6,西太平洋、中部太平洋,15m,3~15mm,体は褐色を帯びた半透明。頭部前端から触角後部にいたる白色斑紋がある。眼の下には青色斑紋がある。背側突起は乳白色で先端は青色。触角は先端が赤色。口触手は赤色を帯びた半透明。15mmに達する。
オオムギミノウミウシ,Tenellia sp.7,日本,18m,3~7mm,体は褐色を帯びた半透明。頭部先端から触角後部にかけて細い黄白色の斑紋があり、それを囲むように水色の斑紋がある。背側突起は淡い水色から紫色で、黄色縦線が2本入る。触角の中ほどに淡い赤褐色の帯がある。口触手は体と同色。7mmに達する。
キツネビミノウミウシ,Tenellia sp.8,西太平洋,7m,10~8mm,体は白みや青みを帯びた半透明で、頭部の触角間から後方には細長い白色紋がある。背側突起は透明で先端直下に橙色の輪があり、消化腺は橙黄色。触角と口触手は体と同色でともに上半分が橙色。過去の本ではヨツスジミノウミウシ科とされていた場合もある。ゴスライナーほか(2018)のTenellia sp.46が本種。8mmに達する。
コマチミノウミウシ,Tenellia sp.9,西太平洋,8m,6~7mm,体は白色。口触手から触角基部、背側突起各群の基部を通る赤紫色の色帯が両側にあり、この間の背面は白色。背側突起は半透明で上部1/2が白色になるもの、すべて赤紫色になるものがある。突起の先端直下は橙黄色。触角は基部が白色で上部2/3が赤色。マゼンタミノウミウシは異名。7mmに達する。
